field_family,schema_type,modern_surface,ownership,evidence_level,capability_or_limit
experimenter_name[],string,Experiment & team / Daily log disclosures,Animal default; saved day snapshot,UI inspected and export checked,"Editable; stable team is reused, day exceptions stay scoped"
lab,string,Experiment & team / Daily log disclosures,Animal default; saved day snapshot,UI inspected and export checked,"Editable; stable team is reused, day exceptions stay scoped"
institution,string,Experiment & team / Daily log disclosures,Animal default; saved day snapshot,UI inspected and export checked,"Editable; stable team is reused, day exceptions stay scoped"
experiment_description,string,Experiment & team / Daily log disclosures,Animal default; saved day snapshot,UI inspected and export checked,"Editable; stable team is reused, day exceptions stay scoped"
session_description,string,Daily log: Session description / notes,Day,Source and browser workflow coverage,Editable; generated initial description may be replaced
session_id,string,Daily log: Session identity,Day,UI and downloaded YAML,Generated for new days; imported value preserved; no direct arbitrary-value editor
keywords[],string,Daily log: Experiment details & search terms,Day,Source and mounted controls,Add/remove strings; optional; current converter does not populate NWB keywords from this field
subject.description,string,Identity wizard / Edit profile,Animal,UI and export checked,Editable; subject ID correction is guarded; DOB may be absent in a draft but blocks export
subject.genotype,string,Identity wizard / Edit profile,Animal,UI and export checked,Editable; subject ID correction is guarded; DOB may be absent in a draft but blocks export
subject.sex,string,Identity wizard / Edit profile,Animal,UI and export checked,C7: O unavailable
subject.species,string,Identity wizard / Edit profile,Animal,UI and export checked,Editable; subject ID correction is guarded; DOB may be absent in a draft but blocks export
subject.subject_id,string,Identity wizard / Edit profile,Animal,UI and export checked,Editable; subject ID correction is guarded; DOB may be absent in a draft but blocks export
subject.weight,number,Daily log: measured weight,Day,Typed for both dates and exported,Required per day; previous measurement is a dated suggestion
subject.date_of_birth,string,Identity wizard / Edit profile,Animal,UI and export checked,Editable; subject ID correction is guarded; DOB may be absent in a draft but blocks export
data_acq_device[].name,string,Recording System library / day Recording Setup,Animal catalog; one selected device per day,UI + export + sample conversion,Add/edit/default/select; same-day multiple-device authoring not provided; none seen in collected corpus
data_acq_device[].system,string,Recording System library / day Recording Setup,Animal catalog; one selected device per day,UI + export + sample conversion,Add/edit/default/select; same-day multiple-device authoring not provided; none seen in collected corpus
data_acq_device[].amplifier,string,Recording System library / day Recording Setup,Animal catalog; one selected device per day,UI + export + sample conversion,Add/edit/default/select; same-day multiple-device authoring not provided; none seen in collected corpus
data_acq_device[].adc_circuit,string,Recording System library / day Recording Setup,Animal catalog; one selected device per day,UI + export + sample conversion,Add/edit/default/select; same-day multiple-device authoring not provided; none seen in collected corpus
associated_files[].name,string,Epoch file panel / Supplemental files,Day,Browser reproductions C1/C2/C6,C1/C2: not every retained row is reachable; C6: required description/path are labelled optional
associated_files[].description,string,Epoch file panel / Supplemental files,Day,Browser reproductions C1/C2/C6,C1/C2: not every retained row is reachable; C6: required description/path are labelled optional
associated_files[].path,string,Epoch file panel / Supplemental files,Day,Browser reproductions C1/C2/C6,C1/C2: not every retained row is reachable; C6: required description/path are labelled optional
associated_files[].task_epochs,integer,Epoch file panel / Supplemental files,Day,Browser reproductions C1/C2/C6,C1/C2: not every retained row is reachable; C6: required description/path are labelled optional
units.analog,string,Recording Setup: Day-only technical overrides,Day,Browser reproduction C3,Partial pair lost after Save/navigation; complete pair supported
units.behavioral_events,string,Recording Setup: Day-only technical overrides,Day,Browser reproduction C3,Partial pair lost after Save/navigation; complete pair supported
times_period_multiplier,number,Recording System advanced defaults / day technical correction,Rig default; saved day value,UI/source and downloaded YAML; voltage consumed in conversion,Editable with correction scope; converter uses raw voltage only when header scaling is absent; legacy period multiplier is not read by current converter
raw_data_to_volts,number,Recording System advanced defaults / day technical correction,Rig default; saved day value,UI/source and downloaded YAML; voltage consumed in conversion,Editable with correction scope; converter uses raw voltage only when header scaling is absent; legacy period multiplier is not read by current converter
default_header_file_path,string,Recording Setup: Day-only technical overrides,Day,UI/source contract comparison C8,Editable/exportable but ignored by current converter; separate header_reconfig_path argument controls reconfiguration
cameras[].id,integer,Animal Cameras / Camera dialog,Animal catalog; daily references,UI entry/import/export and sample conversion,ID assigned automatically and retained on import; other fields editable; calibration/name changes need identity review
cameras[].meters_per_pixel,number,Animal Cameras / Camera dialog,Animal catalog; daily references,UI entry/import/export and sample conversion,ID assigned automatically and retained on import; other fields editable; calibration/name changes need identity review
cameras[].manufacturer,string,Animal Cameras / Camera dialog,Animal catalog; daily references,UI entry/import/export and sample conversion,ID assigned automatically and retained on import; other fields editable; calibration/name changes need identity review
cameras[].model,string,Animal Cameras / Camera dialog,Animal catalog; daily references,UI entry/import/export and sample conversion,ID assigned automatically and retained on import; other fields editable; calibration/name changes need identity review
cameras[].lens,string,Animal Cameras / Camera dialog,Animal catalog; daily references,UI entry/import/export and sample conversion,ID assigned automatically and retained on import; other fields editable; calibration/name changes need identity review
cameras[].camera_name,string,Animal Cameras / Camera dialog,Animal catalog; daily references,UI entry/import/export and sample conversion,ID assigned automatically and retained on import; other fields editable; calibration/name changes need identity review
tasks[].task_name,string,Task Types / epoch task and context controls,Task definition + day occurrence,UI entry/export; historical default edit checked,C1: epoch removal cannot complete with existing files; task name/description/default context editable; per-day context supported
tasks[].task_description,string,Task Types / epoch task and context controls,Task definition + day occurrence,UI entry/export; historical default edit checked,C1: epoch removal cannot complete with existing files; task name/description/default context editable; per-day context supported
tasks[].task_environment,string,Task Types / epoch task and context controls,Task definition + day occurrence,UI entry/export; historical default edit checked,C1: epoch removal cannot complete with existing files; task name/description/default context editable; per-day context supported
tasks[].camera_id[],integer,Task Types / epoch task and context controls,Task definition + day occurrence,UI entry/export; historical default edit checked,C1: epoch removal cannot complete with existing files; task name/description/default context editable; per-day context supported
tasks[].task_epochs[],integer,Task Types / epoch task and context controls,Task definition + day occurrence,UI entry/export; historical default edit checked,C1: epoch removal cannot complete with existing files; task name/description/default context editable; per-day context supported
associated_video_files[].name,string,Epoch details: Video,Day,UI generation/export and sample conversion,C1: unassigned rows unreachable; normal names/cameras/epoch binding supported by row workflow
associated_video_files[].camera_id,integer,Epoch details: Video,Day,UI generation/export and sample conversion,C1: unassigned rows unreachable; normal names/cameras/epoch binding supported by row workflow
associated_video_files[].task_epochs,integer,Epoch details: Video,Day,UI generation/export and sample conversion,C1: unassigned rows unreachable; normal names/cameras/epoch binding supported by row workflow
behavioral_events[].description,string,DIO Wiring,Day; carried forward,Browser reproductions C4/C5; sample conversion,C4: custom-name click may not add; C5: reused index replaces a row; imported Other channel labels retained but not freely reauthored
behavioral_events[].name,string,DIO Wiring,Day; carried forward,Browser reproductions C4/C5; sample conversion,C4: custom-name click may not add; C5: reused index replaces a row; imported Other channel labels retained but not freely reauthored
device.name,array,Generated export field,Derived,Downloaded YAML + consumer source,New values generated as [Trodes]; no direct modern editor; current converter adds header_device from rec header
electrode_groups[].id,integer,Electrode Groups / group dialog,Versioned probe configuration,UI entry/export; sample conversion,ID assigned; other fields editable; target vs measured location and coordinate units distinct
electrode_groups[].location,string,Electrode Groups / group dialog,Versioned probe configuration,UI entry/export; sample conversion,ID assigned; other fields editable; target vs measured location and coordinate units distinct
electrode_groups[].device_type,string,Electrode Groups / group dialog,Versioned probe configuration,UI entry/export; sample conversion,ID assigned; other fields editable; target vs measured location and coordinate units distinct
electrode_groups[].description,string,Electrode Groups / group dialog,Versioned probe configuration,UI entry/export; sample conversion,ID assigned; other fields editable; target vs measured location and coordinate units distinct
electrode_groups[].targeted_location,string,Electrode Groups / group dialog,Versioned probe configuration,UI entry/export; sample conversion,ID assigned; other fields editable; target vs measured location and coordinate units distinct
electrode_groups[].targeted_x,number,Electrode Groups / group dialog,Versioned probe configuration,UI entry/export; sample conversion,ID assigned; other fields editable; target vs measured location and coordinate units distinct
electrode_groups[].targeted_y,number,Electrode Groups / group dialog,Versioned probe configuration,UI entry/export; sample conversion,ID assigned; other fields editable; target vs measured location and coordinate units distinct
electrode_groups[].targeted_z,number,Electrode Groups / group dialog,Versioned probe configuration,UI entry/export; sample conversion,ID assigned; other fields editable; target vs measured location and coordinate units distinct
electrode_groups[].units,string,Electrode Groups / group dialog,Versioned probe configuration,UI entry/export; sample conversion,ID assigned; other fields editable; target vs measured location and coordinate units distinct
ntrode_electrode_group_channel_map[].ntrode_id,integer,Trodes channel mapping,Versioned probe configuration,UI nonsequential IDs/permutation; real-header comparison,Rows/group binding generated from device shanks; IDs and electrode order editable; arbitrary row partitioning not authored
ntrode_electrode_group_channel_map[].electrode_group_id,integer,Trodes channel mapping,Versioned probe configuration,UI nonsequential IDs/permutation; real-header comparison,Rows/group binding generated from device shanks; IDs and electrode order editable; arbitrary row partitioning not authored
ntrode_electrode_group_channel_map[].bad_channels[],integer,Failed Channels,Day override on pinned probe configuration,UI mark/carry/cancel-reversal and export; source multi-shank review,Probe-local electrode IDs; multi-shank failures consolidated into first map row for converter
ntrode_electrode_group_channel_map[].map.<local-channel>,integer,Trodes channel mapping,Versioned probe configuration,UI nonsequential IDs/permutation; real-header comparison,Rows/group binding generated from device shanks; IDs and electrode order editable; arbitrary row partitioning not authored
opto_excitation_source[].name,string,Animal Optogenetics setup,Animal default; saved day snapshot,All visible fields entered and opto YAML inspected,Complete configuration required when enabled; one source; repeatable fibers/injections; aliases emitted for converter/schema
opto_excitation_source[].description,string,Animal Optogenetics setup,Animal default; saved day snapshot,All visible fields entered and opto YAML inspected,Complete configuration required when enabled; one source; repeatable fibers/injections; aliases emitted for converter/schema
opto_excitation_source[].model_name,string,Animal Optogenetics setup,Animal default; saved day snapshot,All visible fields entered and opto YAML inspected,Complete configuration required when enabled; one source; repeatable fibers/injections; aliases emitted for converter/schema
opto_excitation_source[].wavelength_in_nm,number,Animal Optogenetics setup,Animal default; saved day snapshot,All visible fields entered and opto YAML inspected,Complete configuration required when enabled; one source; repeatable fibers/injections; aliases emitted for converter/schema
opto_excitation_source[].power_in_W,number,Animal Optogenetics setup,Animal default; saved day snapshot,All visible fields entered and opto YAML inspected,Complete configuration required when enabled; one source; repeatable fibers/injections; aliases emitted for converter/schema
opto_excitation_source[].intensity_in_W_per_m2,number,Animal Optogenetics setup,Animal default; saved day snapshot,All visible fields entered and opto YAML inspected,Complete configuration required when enabled; one source; repeatable fibers/injections; aliases emitted for converter/schema
optical_fiber[].name,string,Animal Optogenetics setup,Animal default; saved day snapshot,All visible fields entered and opto YAML inspected,Complete configuration required when enabled; one source; repeatable fibers/injections; aliases emitted for converter/schema
optical_fiber[].hardware_name,string,Animal Optogenetics setup,Animal default; saved day snapshot,All visible fields entered and opto YAML inspected,Complete configuration required when enabled; one source; repeatable fibers/injections; aliases emitted for converter/schema
optical_fiber[].implanted_fiber_description,string,Animal Optogenetics setup,Animal default; saved day snapshot,All visible fields entered and opto YAML inspected,Complete configuration required when enabled; one source; repeatable fibers/injections; aliases emitted for converter/schema
optical_fiber[].hemisphere,string,Animal Optogenetics setup,Animal default; saved day snapshot,All visible fields entered and opto YAML inspected,Complete configuration required when enabled; one source; repeatable fibers/injections; aliases emitted for converter/schema
optical_fiber[].location,string,Animal Optogenetics setup,Animal default; saved day snapshot,All visible fields entered and opto YAML inspected,Complete configuration required when enabled; one source; repeatable fibers/injections; aliases emitted for converter/schema
optical_fiber[].ap_in_mm,number,Animal Optogenetics setup,Animal default; saved day snapshot,All visible fields entered and opto YAML inspected,Complete configuration required when enabled; one source; repeatable fibers/injections; aliases emitted for converter/schema
optical_fiber[].ml_in_mm,number,Animal Optogenetics setup,Animal default; saved day snapshot,All visible fields entered and opto YAML inspected,Complete configuration required when enabled; one source; repeatable fibers/injections; aliases emitted for converter/schema
optical_fiber[].dv_in_mm,number,Animal Optogenetics setup,Animal default; saved day snapshot,All visible fields entered and opto YAML inspected,Complete configuration required when enabled; one source; repeatable fibers/injections; aliases emitted for converter/schema
optical_fiber[].roll_in_deg,number,Animal Optogenetics setup,Animal default; saved day snapshot,All visible fields entered and opto YAML inspected,Complete configuration required when enabled; one source; repeatable fibers/injections; aliases emitted for converter/schema
